City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,port alfred,-33.5906,26.891,14.97,75,7,5.52,ZA,1681101034
85,cayenne,4.9333,-52.3333,24.02,94,75,3.6,GF,1681101007
86,solenzo,12.1833,-4.0833,28.7,29,73,1.57,BF,1681101034
87,ponta do sol,32.6667,-17.1,19.35,60,18,2.61,PT,1681101034
88,praia da vitoria,38.7333,-27.0667,15.14,88,0,2.46,PT,1681101034
89,khatanga,71.9667,102.5,-16.2,89,100,2.28,RU,1681101035
90,saldanha,-33.0117,17.9442,14.03,75,35,4.82,ZA,1681101035
91,bredasdorp,-34.5322,20.0403,14.82,64,70,8.32,ZA,1681101035
92,amazar,53.858,120.875,-3.6,90,100,5.68,RU,1681101035
93,esperance,-33.8667,121.9,24.59,48,31,2.48,AU,1681101036
94,sao gabriel da cachoeira,-0.1303,-67.0892,21.31,99,100,0.26,BR,1681101036
95,phangnga,8.4509,98.5298,33.02,37,88,2.4,TH,1681101037
96,faya,18.3851,42.4509,15.06,50,0,1.65,SA,1681101037
97,jacareacanga,-6.2222,-57.7528,22.25,98,59,0.54,BR,1681101038
98,sitka,57.0531,-135.33,3.94,81,100,2.57,US,1681101038
99,padang,-0.9492,100.3543,30.03,74,74,2.38,ID,1681101038
100,alihe,50.5667,123.7167,3.09,90,100,3.39,CN,1681101038
101,tiksi,71.6872,128.8694,-15.62,82,100,1.82,RU,1681101039
102,san miguel,13.4833,-88.1833,25.32,67,11,0.23,SV,1681101039
103,hollister,36.8525,-121.4016,16.24,59,0,0.0,US,1681101039
104,leningradskiy,69.3833,178.4167,-18.29,92,100,4.76,RU,1681101039
105,sola,-13.8833,167.55,28.67,75,94,6.08,VU,1681101039
106,xinmin,41.9908,122.8253,19.44,40,83,9.75,CN,1681101039
107,gimli,50.6336,-96.9907,1.01,86,100,3.09,CA,1681101035
108,port keats,-14.25,129.55,30.92,62,99,4.78,AU,1681101040
109,launceston,-41.45,147.1667,17.67,53,100,8.75,AU,1681101040
110,new norfolk,-42.7826,147.0587,11.51,67,74,0.89,AU,1681101040
111,olustvere,58.5552,25.563,3.5,71,76,1.37,EE,1681101040
112,acapulco,16.8634,-99.8901,26.9,74,0,0.0,MX,1681101040
113,kaitangata,-46.2817,169.8464,14.11,96,100,4.37,NZ,1681101041
114,klaksvik,62.2266,-6.589,6.51,98,100,11.82,FO,1681101041
115,semey,50.4111,80.2275,8.12,27,0,3.0,KZ,1681101041
116,georgetown,5.4112,100.3354,31.97,66,20,2.06,MY,1681100749
117,nanortalik,60.1432,-45.2371,-2.58,93,99,1.4,GL,1681101042
118,batemans bay,-35.7167,150.1833,18.94,30,9,3.96,AU,1681101043
119,spolaita,38.6966,21.3464,5.42,86,96,1.34,GR,1681101043
120,castro,-24.7911,-50.0119,14.52,98,83,3.32,BR,1681101043
121,fortuna,40.5982,-124.1573,13.85,87,100,0.94,US,1681101043
122,chokurdakh,70.6333,147.9167,-17.33,83,66,5.04,RU,1681101043
123,luan,46.3592,6.9759,3.09,75,82,1.34,CH,1681101044
124,saltpond,5.2091,-1.0606,26.74,84,100,3.16,GH,1681101044
125,qaanaaq,77.484,-69.3632,-25.27,69,1,2.87,GL,1681101044
126,bilma,18.6853,12.9164,25.61,18,73,5.24,NE,1681101044
127,houston,29.7633,-95.3633,19.51,80,100,5.14,US,1681100365
128,kruisfontein,-34.0033,24.7314,9.94,73,0,3.3,ZA,1681101044
129,pringsewu,-5.3582,104.9744,23.92,96,100,1.47,ID,1681101044
130,belmonte,-15.8631,-38.8828,24.73,86,20,1.59,BR,1681101045
131,yerbogachen,61.2767,108.0108,-10.77,77,100,3.13,RU,1681101045
132,chekhov,55.1431,37.4711,4.97,65,32,0.28,RU,1681101045
133,kazanskaya,45.4106,40.4361,11.75,77,48,5.2,RU,1681101045
134,gannan,47.9147,123.5031,18.44,20,72,4.94,CN,1681101045
135,innisfail,-17.5333,146.0333,30.66,67,100,2.99,AU,1681101046
136,cranbrook,49.4999,-115.7688,9.91,62,100,7.2,CA,1681100768
137,mafeteng,-29.823,27.2374,10.93,89,80,3.15,LS,1681101046
138,ukiah,39.1502,-123.2078,14.73,75,100,0.99,US,1681101004
139,hermanus,-34.4187,19.2345,15.45,71,54,9.78,ZA,1681101046
140,hammerfest,70.6634,23.6821,3.25,81,100,5.66,NO,1681101046
141,baturaja,-4.1333,104.1667,26.23,81,100,1.36,ID,1681101046
142,shache,38.4167,77.2406,21.44,16,9,1.72,CN,1681101047
143,udalguri,26.7667,92.1333,31.63,32,0,3.26,IN,1681101047
144,rawson,-43.3002,-65.1023,10.81,41,100,5.2,AR,1681101047
145,bintulu,3.1667,113.0333,32.23,66,20,2.57,MY,1681101047
146,westport,41.1415,-73.3579,6.9,75,0,3.09,US,1681100975
147,kjollefjord,70.9457,27.3465,3.03,87,75,7.72,NO,1681101047
148,spoleto,42.7448,12.7374,4.9,88,3,2.4,IT,1681101048
149,egvekinot,66.3167,-179.1667,-19.73,89,71,0.41,RU,1681101048
150,bengkulu,-3.8004,102.2655,26.95,79,85,1.65,ID,1681101048
151,katsuura,35.1333,140.3,18.01,51,1,9.82,JP,1681101048
152,voznesenye,61.0106,35.4781,1.01,90,100,2.66,RU,1681101048
153,saint-francois,46.4154,3.9054,2.04,93,0,0.0,FR,1681101048
154,lodja,-3.4833,23.4333,20.72,96,83,0.83,CD,1681101048
155,longyan,25.1072,117.0225,25.16,56,28,2.17,CN,1681101048
156,pisco,-13.7,-76.2167,23.03,83,0,4.63,PE,1681101049
157,haicheng,40.8516,122.7475,17.27,48,81,8.23,CN,1681101049
158,barranquilla,10.9639,-74.7964,25.88,83,20,4.63,CO,1681100875
159,ahuimanu,21.4447,-157.8378,24.84,80,75,6.17,US,1681101049
160,srednekolymsk,67.45,153.6833,-5.93,76,5,6.21,RU,1681101049
161,cap malheureux,-19.9842,57.6142,28.04,72,97,3.13,MU,1681101050
162,vestmannaeyjar,63.4427,-20.2734,6.32,75,77,5.36,IS,1681101050
163,celestun,20.8667,-90.4,24.18,78,6,5.61,MX,1681101050
164,namibe,-15.1961,12.1522,23.17,76,34,1.8,AO,1681101050
165,lagoa,39.05,-27.9833,14.88,81,23,4.03,PT,1681101050
166,nyagan,62.1406,65.3936,-5.57,79,89,5.64,RU,1681101050
167,kalmunai,7.4167,81.8167,29.79,64,69,4.71,LK,1681101050
168,raul soares,-20.1022,-42.4519,19.84,93,93,1.06,BR,1681101051
169,naze,28.3667,129.4833,19.51,57,40,4.39,JP,1681101051
170,mahebourg,-20.4081,57.7,27.92,89,40,4.63,MU,1681101051
171,misratah,32.3754,15.0925,14.79,65,0,6.73,LY,1681101051
172,port hardy,50.6996,-127.4199,7.0,87,40,7.2,CA,1681101051
173,mount isa,-20.7333,139.5,31.87,13,16,3.09,AU,1681101051
174,arraial do cabo,-22.9661,-42.0278,23.67,66,100,4.73,BR,1681101052
175,beringovskiy,63.05,179.3167,-16.65,88,25,2.85,RU,1681101052
176,saskylakh,71.9167,114.0833,-16.75,84,99,5.21,RU,1681101052
177,burgeo,47.6167,-57.6152,-1.29,93,76,10.39,CA,1681101052
178,dingle,10.9995,122.6711,30.21,60,100,4.1,PH,1681101052
179,cape town,-33.9258,18.4232,16.88,77,75,1.34,ZA,1681100403
180,byron bay,-28.65,153.6167,25.39,32,1,2.48,AU,1681100902
181,sirnak,37.5228,42.4594,11.04,67,100,3.97,TR,1681101053
182,yaan,7.3833,8.5667,25.26,82,100,2.12,NG,1681101053
183,trairi,-3.2778,-39.2689,23.27,94,79,2.05,BR,1681100820
184,avarua,-21.2078,-159.775,27.03,74,46,3.09,CK,1681101053
185,hithadhoo,-0.6,73.0833,27.98,70,4,2.17,MV,1681101054
186,paamiut,61.994,-49.6678,-2.02,89,100,7.32,GL,1681101054
187,pochinki,54.6988,44.8668,7.28,51,44,1.67,RU,1681101054
188,papar,5.7333,115.9333,31.0,67,99,3.12,MY,1681101054
189,banda aceh,5.5577,95.3222,30.29,60,94,1.25,ID,1681101054
190,port elizabeth,-33.918,25.5701,14.06,73,0,3.09,ZA,1681101054
191,kromy,52.6876,35.7667,6.32,85,8,0.57,RU,1681100954
192,half moon bay,37.4636,-122.4286,17.47,62,0,7.72,US,1681100767
193,carinhanha,-14.3047,-43.765,24.4,66,72,0.55,BR,1681101055
194,axim,4.8699,-2.2405,26.43,85,100,2.55,GH,1681101055
195,arlit,18.7369,7.3853,26.09,14,94,4.02,NE,1681101055
196,sambava,-14.2667,50.1667,25.53,84,99,2.74,MG,1681101055
197,cabo san lucas,22.8909,-109.9124,23.06,66,100,4.39,MX,1681100935
198,takoradi,4.8845,-1.7554,26.44,85,100,2.93,GH,1681101055
199,cuaspud,0.8628,-77.7263,8.24,95,90,1.97,CO,1681101055
200,saint-joseph,-21.3667,55.6167,26.37,76,98,2.86,RE,1681101055
201,bageshwar,29.85,79.7667,26.8,22,1,1.1,IN,1681101056
202,puerto carreno,6.189,-67.4859,23.94,84,100,3.3,CO,1681101056
203,hjelset,62.7833,7.4833,3.88,75,75,2.57,NO,1681101056
204,nandigama,16.7833,80.3,35.37,29,0,2.08,IN,1681101056
205,bitung,1.4451,125.1824,31.47,62,45,1.56,ID,1681101056
206,berlevag,70.8578,29.0864,3.0,75,100,9.26,NO,1681101056
207,komatipoort,-25.4332,31.9548,20.58,76,76,1.54,ZA,1681101056
208,rocha,-34.4833,-54.3333,14.53,95,0,2.73,UY,1681101057
209,zemio,5.0314,25.1361,22.21,79,100,0.71,CF,1681101057
210,nemuro,43.3236,145.575,5.71,75,33,6.92,JP,1681101057
211,biak,-0.9131,122.8766,28.82,69,27,1.42,ID,1681101057
212,ugoofaaru,5.6667,73.0,29.1,71,13,5.54,MV,1681101057
213,sur,22.5667,59.5289,27.71,58,21,3.4,OM,1681101057
214,mindelo,16.8901,-24.9804,20.75,68,40,5.14,CV,1681101058
215,cidreira,-30.1811,-50.2056,21.72,87,0,7.14,BR,1681101058
216,tuktoyaktuk,69.4541,-133.0374,-11.0,85,100,5.14,CA,1681101058
217,skelleftea,64.7507,20.9528,-2.22,100,100,1.03,SE,1681101058
218,sokoni,-6.4333,39.55,25.92,82,100,2.82,TZ,1681101058
219,anadyr,64.75,177.4833,-18.72,71,20,2.0,RU,1681101058
220,asau,46.4333,26.4,-1.49,84,13,1.08,RO,1681101059
221,waipawa,-41.4122,175.5153,16.39,78,6,5.24,NZ,1681101059
222,ossora,59.2353,163.0719,-3.1,95,100,15.13,RU,1681101059
223,mingaora,34.7758,72.3625,23.79,32,0,0.74,PK,1681101059
224,lebu,-37.6167,-73.65,14.38,80,71,1.28,CL,1681101059
225,leczna,51.3012,22.8814,7.17,93,0,3.6,PL,1681101059
226,rouvroy,50.3925,2.904,9.94,66,100,4.7,FR,1681101059
227,constitucion,-35.3333,-72.4167,15.0,70,38,3.69,CL,1681101056
228,charagua,-19.8,-63.2167,17.65,70,39,1.64,BO,1681101060
229,labuhan,-6.8844,112.2051,29.92,67,82,3.63,ID,1681101060
230,carolina,18.3808,-65.9574,25.42,88,0,0.0,PR,1681101060
231,podor,16.6527,-14.9587,19.84,51,28,5.73,MR,1681101060
232,colares,38.7992,-9.4469,13.83,83,79,6.71,PT,1681101060
233,nalut,30.3333,10.85,12.39,52,0,3.64,LY,1681101060
234,kuching,1.55,110.3333,32.79,65,40,0.45,MY,1681101060
235,selty,57.3132,52.1345,3.22,77,32,4.08,RU,1681101061
236,bongor,10.2806,15.3722,29.7,22,99,2.6,TD,1681101061
237,uruzgan,32.8333,66.0,16.97,38,0,2.02,AF,1681101061
238,shagonar,51.5333,92.8,0.61,46,55,1.38,RU,1681101061
239,humaita,-7.5061,-63.0208,22.8,99,97,0.09,BR,1681101062
240,saint george,37.1041,-113.5841,21.08,28,0,3.09,US,1681101021
241,tasiilaq,65.6145,-37.6368,2.09,97,100,12.34,GL,1681101062
242,biltine,14.5333,20.9167,29.15,12,99,3.34,TD,1681101062
243,port hedland,-20.3167,118.5667,35.03,46,75,6.17,AU,1681101063
244,galle,6.0367,80.217,30.6,56,0,1.46,LK,1681101063
245,dubrovnik,42.6481,18.0922,12.8,47,40,7.72,HR,1681101063
246,jhabua,22.7667,74.6,34.9,13,3,2.97,IN,1681101063
247,tabou,4.423,-7.3528,25.89,87,100,1.91,CI,1681101064
248,sulangan,11.1373,123.7228,27.66,76,100,7.28,PH,1681101064
249,tezu,27.9167,96.1667,33.89,22,12,2.24,IN,1681101064
250,da nang,16.0678,108.2208,28.99,70,20,3.6,VN,1681101051
251,alofi,-19.0595,-169.9187,27.94,74,7,6.69,NU,1681101066
252,tacoronte,28.4769,-16.4102,18.24,94,100,7.2,ES,1681101069
253,moen,69.1304,18.6123,-5.6,93,0,0.0,NO,1681101069
254,bambous virieux,-20.3428,57.7575,27.9,89,40,4.63,MU,1681101069
255,gagnoa,6.1293,-5.9437,22.99,97,100,1.08,CI,1681101070
256,buckeye,33.3703,-112.5838,26.56,20,0,1.58,US,1681100808
257,maneadero,31.7167,-116.5667,12.83,83,18,1.55,MX,1681101070
258,constantine,36.365,6.6147,5.67,70,0,1.03,DZ,1681101070
259,belyy yar,53.6039,91.3903,0.94,60,0,3.0,RU,1681101070
260,oranjemund,-28.55,16.4333,11.94,73,0,4.35,NA,1681101071
261,belle glade,26.6845,-80.6676,22.25,83,46,5.12,US,1681101071
262,komsomolskiy,40.4272,71.7189,14.4,72,75,1.03,UZ,1681101071
263,san patricio,28.017,-97.5169,21.93,82,100,3.87,US,1681101071
264,taksimo,56.3444,114.8794,-2.88,82,100,1.66,RU,1681101072
265,najran,17.4924,44.1277,19.36,43,1,3.63,SA,1681101073
266,bubaque,11.2833,-15.8333,25.52,56,79,6.34,GW,1681101073
267,ahipara,-35.1667,173.1667,18.89,86,3,5.58,NZ,1681101073
268,sao joao da barra,-21.6403,-41.0511,21.92,89,100,3.59,BR,1681101073
269,kirakira,-10.4544,161.9205,29.34,71,86,3.78,SB,1681101073
270,poum,-20.2333,164.0167,26.77,66,0,1.74,NC,1681101074
271,aquiraz,-3.9014,-38.3911,24.54,88,87,1.56,BR,1681100906
272,qui nhon,13.7667,109.2333,27.65,72,90,3.09,VN,1681101051
273,ratnagiri,16.9833,73.3,32.47,49,3,2.99,IN,1681101026
274,faanui,-16.4833,-151.75,27.79,74,100,7.48,PF,1681101074
275,alghero,40.5589,8.3181,5.05,100,0,1.03,IT,1681101074
276,kahului,20.8947,-156.47,24.01,72,40,6.17,US,1681101075
277,daru,-9.0763,143.2092,26.99,83,100,2.69,PG,1681101075
278,kutum,14.2,24.6667,24.54,12,57,1.63,SD,1681101075
279,tlacotepec,20.0667,-97.8667,15.22,94,100,0.19,MX,1681101076
280,morgan city,29.6994,-91.2068,16.0,82,100,6.69,US,1681101076
281,severo-kurilsk,50.6789,156.125,-1.03,91,100,17.19,RU,1681101076
282,taoudenni,22.6783,-3.9836,22.82,28,64,5.36,ML,1681101076
283,gomel,52.4345,30.9754,10.44,78,89,3.0,BY,1681101077
284,puerto escondido,15.85,-97.0667,28.46,74,40,1.54,MX,1681101077
285,vilhena,-12.7406,-60.1458,19.98,98,89,0.91,BR,1681101077
286,arrecife,28.963,-13.5477,22.99,40,0,7.2,ES,1681101077
287,iquitos,-3.7481,-73.2472,23.02,94,40,1.54,PE,1681101077
288,longyearbyen,78.2186,15.6401,-1.09,80,75,9.26,SJ,1681101077
289,actopan,20.2667,-98.9333,13.93,82,48,1.77,MX,1681101078
290,mweka,-4.85,21.5667,19.79,98,46,0.24,CD,1681100883
291,tura,25.5198,90.2201,33.07,20,2,3.02,IN,1681101078
292,bereda,43.2686,-7.5406,9.52,100,100,1.4,ES,1681101078
293,rosetown,51.5501,-108.0014,3.7,81,66,7.2,CA,1681101078
294,elizabeth city,36.2946,-76.2511,9.45,85,0,5.14,US,1681101078
295,carnarvon,-24.8667,113.6333,23.65,50,88,6.87,AU,1681101078
296,nome,64.5011,-165.4064,-19.96,71,0,5.14,US,1681101079
297,valparaiso,-33.0393,-71.6273,17.22,64,0,3.0,CL,1681101079
298,comodoro rivadavia,-45.8667,-67.5,1.92,48,0,1.54,AR,1681101064
299,indiana,40.0003,-86.2503,10.87,59,0,2.24,US,1681100963
300,bathsheba,13.2167,-59.5167,26.34,73,20,8.75,BB,1681101080
301,coihueco,-36.6167,-71.8333,14.13,34,20,1.49,CL,1681101080
302,yulara,-25.2406,130.9889,35.12,19,15,6.16,AU,1681101080
303,nyimba,-14.5566,30.8149,20.02,91,52,0.92,ZM,1681101080
304,turinskaya sloboda,57.6232,64.3858,3.94,63,36,6.16,RU,1681101080
305,preobrazheniye,42.9019,133.9064,10.89,59,27,5.07,RU,1681101080
306,shimoda,34.6667,138.95,20.61,57,0,7.18,JP,1681101081
307,ola,59.5833,151.2833,-0.7,62,100,1.81,RU,1681101081
308,lahat,-3.8,103.5333,29.82,66,88,1.22,ID,1681101081
309,lata,40.1629,-8.3327,11.62,87,92,0.91,PT,1681101082
310,milkovo,54.7167,158.6167,0.33,99,100,4.38,RU,1681101082
311,avanigadda,16.0215,80.9181,35.22,31,0,2.57,IN,1681101083
